"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"David Price\priceda01","TBR",153,14,"78%",6.6,20,5,0.8,2.56,31,31,0,2,1,0,211,173,63,60,16,59,2,205,5,1,8,836,1.1,150
2,"Justin Verlander\verlaju01","DET",149,13,"76%",8.1,17,8,0.68,2.64,33,33,0,6,1,0,238.1,192,81,70,19,60,2,239,5,1,2,956,1.057,161
3,"Jered Weaver\weaveje02","LAA",70,0,"36%",4.3,20,5,0.8,2.81,30,30,0,3,2,0,188.2,147,63,59,20,45,0,142,4,0,2,739,1.018,135
4,"Felix Hernandez\hernafe02","SEA",41,0,"21%",5.3,13,9,0.591,3.06,33,33,0,5,5,0,232,209,84,79,14,56,0,223,12,2,13,939,1.142,124
5,"Fernando Rodney\rodnefe01","TBR",38,1,"19%",3.7,2,2,0.5,0.6,76,0,65,0,0,48,74.2,43,9,5,2,15,1,76,3,0,4,282,0.777,641
6,"Chris Sale\salech01","CHW",17,0,"9%",5.7,17,8,0.68,3.05,30,29,0,1,0,0,192,167,66,65,19,51,5,192,6,0,6,772,1.135,140
7,"Jim Johnson\johnsji04","BAL",5,0,"3%",2.4,2,1,0.667,2.49,71,0,63,0,0,51,68.2,55,21,19,3,15,1,41,3,0,1,269,1.019,170
8,"Matt Harrison\harrima01","TEX",2,0,"1%",5.8,18,11,0.621,3.29,32,32,0,4,2,0,213.1,210,82,78,22,59,0,133,1,0,2,876,1.261,133
9,"Yu Darvish\darviyu01","TEX",1,0,"1%",3.5,16,9,0.64,3.9,29,29,0,0,0,0,191.1,156,89,83,14,89,1,221,10,0,8,816,1.28,112
