"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Randy Johnson\johnsra05","ARI",160,32,"100%",10.7,24,5,0.828,2.32,35,35,0,8,4,0,260,197,78,67,26,71,1,334,13,2,3,1035,1.031,195
2,"Curt Schilling\schilcu01","ARI",90,0,"56%",8.6,23,7,0.767,3.23,36,35,0,5,1,0,259.1,218,95,93,29,33,1,316,3,0,6,1017,0.968,140
3,"John Smoltz\smoltjo01","ATL",21,0,"13%",1.2,3,2,0.6,3.25,75,0,68,0,0,55,80.1,59,30,29,4,24,1,85,0,1,1,314,1.033,128
4,"Eric Gagne\gagneer01","LAD",8,0,"5%",2.9,4,1,0.8,1.97,77,0,68,0,0,52,82.1,55,18,18,6,16,4,114,2,0,1,314,0.862,193
4,"Roy Oswalt\oswalro01","HOU",8,0,"5%",7,19,9,0.679,3.01,35,34,0,0,0,0,233,215,86,78,17,62,4,208,5,0,3,956,1.189,144
6,"Bartolo Colon\colonba01","MON",1,0,"1%",2.4,10,4,0.714,3.31,17,17,0,4,1,0,117,115,48,43,9,39,4,74,0,0,1,499,1.316,129
