"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Bob Welch\welchbo01","OAK",107,15,"76%",3,27,6,0.818,2.95,35,35,0,2,2,0,238,214,90,78,26,77,4,127,5,2,2,979,1.223,125
2,"Roger Clemens\clemero02","BOS",77,8,"55%",10.5,21,6,0.778,1.93,31,31,0,7,4,0,228.1,193,59,49,7,54,3,209,7,0,8,920,1.082,211
3,"Dave Stewart\stewada01","OAK",43,3,"31%",5.2,22,11,0.667,2.56,36,36,0,11,4,0,267,226,84,76,16,83,1,166,5,0,8,1088,1.157,144
4,"Bobby Thigpen\thigpbo01","CHW",20,2,"14%",3.5,4,6,0.4,1.83,77,0,73,0,0,57,88.2,60,20,18,5,32,3,70,1,0,2,347,1.038,211
5,"Dennis Eckersley\eckerde01","OAK",2,0,"1%",3.3,4,2,0.667,0.61,63,0,61,0,0,48,73.1,41,9,5,2,4,1,73,0,0,0,262,0.614,603
5,"Dave Stieb\stiebda01","TOR",2,0,"1%",5.9,18,6,0.75,2.93,33,33,0,2,2,0,208.2,179,73,68,11,64,0,125,10,0,5,861,1.165,140
7,"Chuck Finley\finlech01","CAL",1,0,"1%",7.7,18,9,0.667,2.4,32,32,0,7,2,0,236,210,77,63,17,81,3,177,2,0,9,962,1.233,158
