"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Rollie Fingers\fingero01","MIL",126,22,"90%",4.2,6,3,0.667,1.04,47,0,41,0,0,28,78,55,9,9,3,13,5,61,1,0,1,297,0.872,333
2,"Steve McCatty\mccatst01","OAK",84,6,"60%",4.5,14,7,0.667,2.33,22,22,0,16,4,0,185.2,140,50,48,12,61,1,91,2,0,0,741,1.083,148
3,"Jack Morris\morrija02","DET",21,0,"15%",3.4,14,7,0.667,3.05,25,25,0,15,1,0,198,153,69,67,14,78,11,97,2,2,2,798,1.167,124
4,"Pete Vuckovich\vuckope01","MIL",8,0,"6%",2,14,4,0.778,3.55,24,23,0,2,1,0,149.2,137,61,59,9,57,1,84,4,0,1,620,1.296,97
5,"Rich Gossage\gossari01","NYY",3,0,"2%",2.3,3,2,0.6,0.77,32,0,30,0,0,20,46.2,22,6,4,2,14,1,48,1,0,1,173,0.771,465
5,"Dennis Martinez\martide01","BAL",3,0,"2%",1.8,14,5,0.737,3.32,25,24,0,9,2,0,179,173,84,66,10,62,1,88,2,1,6,753,1.313,110
7,"Britt Burns\burnsbr01","CHW",2,0,"1%",3.9,10,6,0.625,2.64,24,23,0,5,1,0,156.2,139,52,46,14,49,1,108,6,1,1,651,1.2,135
7,"Ron Guidry\guidrro01","NYY",2,0,"1%",3.1,11,5,0.688,2.76,23,21,1,0,0,0,127,100,41,39,12,26,0,104,1,0,6,497,0.992,129
9,"Larry Gura\gurala01","KCR",1,0,"1%",3.7,11,8,0.579,2.72,23,23,0,12,2,0,172.1,139,61,52,11,35,0,61,4,0,3,680,1.01,134
