"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","David Cone\coneda01","KCR",108,15,"77%",6.9,16,5,0.762,2.94,23,23,0,4,3,0,171.2,130,60,56,15,54,0,132,7,1,5,690,1.072,171,"1994"
"2","Jimmy Key\keyji01","NYY",96,10,"69%",4.4,17,4,0.81,3.27,25,25,0,1,0,0,168,177,68,61,10,52,0,97,3,1,8,710,1.363,140,"1994"
"3","Randy Johnson\johnsra05","SEA",24,2,"17%",5.5,13,6,0.684,3.19,23,23,0,9,4,0,172,132,65,61,14,72,2,204,6,0,5,694,1.186,152,"1994"
"4","Mike Mussina\mussimi01","BAL",23,1,"16%",5.4,16,5,0.762,3.06,24,24,0,3,0,0,176.1,163,63,60,19,42,1,99,1,0,0,712,1.163,164,"1994"
"5","Lee Smith\smithle02","BAL",1,0,"1%",0.8,1,4,0.2,3.29,41,0,39,0,0,33,38.1,34,16,14,6,11,1,42,0,0,0,160,1.174,153,"1994"
"6","Greg Maddux\maddugr01","ATL",140,28,"100%",8.5,16,6,0.727,1.56,25,25,0,10,3,0,202,150,44,35,4,31,3,156,6,1,3,774,0.896,271,"1994"
"7","Ken Hill\hillke01","MON",56,0,"40%",3,16,5,0.762,3.32,23,23,0,2,1,0,154.2,145,61,57,12,44,7,85,6,0,3,647,1.222,127,"1994"
"8","Bret Saberhagen\saberbr01","NYM",42,0,"30%",5.5,14,4,0.778,2.74,24,24,0,4,0,0,177.1,169,58,54,13,13,0,143,4,0,0,696,1.026,153,"1994"
"9","Doug Drabek\drabedo01","HOU",4,0,"3%",3.4,12,6,0.667,2.84,23,23,0,6,2,0,164.2,132,58,52,14,45,2,121,2,0,2,657,1.075,140,"1994"
"10","Marvin Freeman\freemma02","COL",4,0,"3%",4.5,10,2,0.833,2.8,19,18,0,0,0,0,112.2,113,39,35,10,23,2,67,5,0,4,465,1.207,179,"1994"
"11","Danny Jackson\jacksda02","PHI",3,0,"2%",4.7,14,6,0.7,3.26,25,25,0,4,1,0,179.1,183,71,65,13,46,1,129,2,0,2,755,1.277,132,"1994"
"12","John Franco\francjo01","NYM",2,0,"1%",0.9,1,4,0.2,2.7,47,0,43,0,0,30,50,47,20,15,2,19,0,42,1,0,1,216,1.32,156,"1994"
"13","Rod Beck\beckro01","SFG",1,0,"1%",0.8,2,4,0.333,2.77,48,0,47,0,0,28,48.2,49,17,15,10,13,2,39,0,0,0,207,1.274,144,"1994"
