"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Jim Palmer\palmeji01","BAL",88,14,"73%",6.3,22,9,0.71,2.4,38,37,1,19,6,1,296.1,225,86,79,16,113,5,158,3,0,7,1190,1.141,155,"1973"
"2","Nolan Ryan\ryanno01","CAL",62,9,"52%",7.8,21,16,0.568,2.87,41,39,2,26,4,1,326,238,113,104,18,162,2,383,7,0,15,1355,1.227,123,"1973"
"3","Catfish Hunter\hunteca01","OAK",52,1,"43%",1.9,21,5,0.808,3.34,36,36,0,11,3,0,256.1,222,105,95,39,69,1,124,1,0,2,1040,1.135,107,"1973"
"4","John Hiller\hillejo01","DET",6,0,"5%",8,10,5,0.667,1.44,65,0,60,0,0,38,125.1,89,21,20,7,39,7,124,0,0,1,498,1.021,283,"1973"
"5","Wilbur Wood\woodwi01","CHW",3,0,"3%",7.6,24,20,0.545,3.46,49,48,1,21,4,0,359.1,381,166,138,25,91,3,199,7,0,7,1531,1.314,116,"1973"
"6","Jim Colborn\colboji01","MIL",2,0,"2%",4.7,20,12,0.625,3.18,43,36,2,22,4,1,314.1,297,133,111,21,87,5,135,3,1,6,1287,1.222,118,"1973"
"7","Vida Blue\bluevi01","OAK",1,0,"1%",2.1,20,9,0.69,3.28,37,37,0,13,4,0,263.2,214,108,96,26,105,2,158,4,2,15,1083,1.21,109,"1973"
"8","Bert Blyleven\blylebe01","MIN",1,0,"1%",9.8,20,17,0.541,2.52,40,40,0,25,9,0,325,296,109,91,16,67,4,258,9,2,7,1321,1.117,156,"1973"
"9","Gaylord Perry\perryga01","CLE",1,0,"1%",7.8,19,19,0.5,3.38,41,41,0,29,7,0,344,315,143,129,34,115,9,238,5,0,17,1410,1.25,117,"1973"
"10","Tom Seaver\seaveto01","NYM",71,10,"59%",10.6,19,10,0.655,2.08,36,36,0,18,3,0,290,219,74,67,23,64,5,251,4,0,5,1147,0.976,175,"1973"
"11","Mike Marshall\marshmi01","MON",54,9,"45%",3.1,14,11,0.56,2.66,92,0,73,0,0,31,179,163,62,53,10,75,12,124,4,0,8,746,1.33,142,"1973"
"12","Ron Bryant\bryanro01","SFG",50,3,"42%",3.5,24,12,0.667,3.53,41,39,1,8,0,0,270,240,125,106,23,115,12,143,9,1,8,1165,1.315,109,"1973"
"13","Jack Billingham\billija01","CIN",30,2,"25%",3.1,19,10,0.655,3.04,40,40,0,16,7,0,293.1,257,112,99,20,95,10,155,10,0,10,1205,1.2,113,"1973"
"14","Don Sutton\suttodo01","LAD",7,0,"6%",5.4,18,10,0.643,2.42,33,33,0,14,3,0,256.1,196,78,69,18,56,4,200,5,0,10,1006,0.983,144,"1973"
"15","Fred Norman\normafr01","TOT",3,0,"3%",2.5,13,13,0.5,3.6,36,35,1,8,3,0,240.1,208,102,96,27,101,11,161,2,1,10,1008,1.286,96,"1973"
"16","Dave Giusti\giustda01","PIT",1,0,"1%",2.6,9,2,0.818,2.37,67,0,60,0,0,20,98.2,89,31,26,9,37,13,64,0,0,3,416,1.277,149,"1973"
