"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Dallas Keuchel\keuchda01","HOU",186,22,"89%",6.7,20,8,0.714,2.48,33,33,0,3,2,0,232,185,68,64,17,51,0,216,2,0,9,911,1.017,157,"2015"
"2","David Price\priceda01","TOT",143,8,"68%",6.3,18,5,0.783,2.45,32,32,0,3,1,0,220.1,190,70,60,17,47,2,225,3,0,4,888,1.076,164,"2015"
"3","Sonny Gray\grayso01","OAK",82,0,"39%",5.3,14,7,0.667,2.73,31,31,0,3,2,0,208,166,71,63,17,59,0,169,2,0,13,831,1.082,143,"2015"
"4","Chris Sale\salech01","CHW",30,0,"14%",3.4,13,11,0.542,3.41,31,31,0,1,0,0,208.2,185,88,79,23,42,0,274,13,0,7,854,1.088,114,"2015"
"5","Chris Archer\archech01","TBR",29,0,"14%",4.1,12,13,0.48,3.23,34,34,0,1,1,0,212,175,85,76,19,66,0,252,3,0,13,868,1.137,121,"2015"
"6","Wade Davis\daviswa01","KCR",10,0,"5%",3.5,8,1,0.889,0.94,69,0,24,0,0,17,67.1,33,8,7,3,20,1,78,0,0,1,251,0.787,448,"2015"
"7","Felix Hernandez\hernafe02","SEA",9,0,"4%",4.5,18,9,0.667,3.53,31,31,0,2,2,0,201.2,180,80,79,23,58,0,191,9,0,10,826,1.18,108,"2015"
"8","Collin McHugh\mchugco01","HOU",5,0,"2%",2.7,19,7,0.731,3.89,32,32,0,0,0,0,203.2,207,89,88,19,53,2,171,9,0,5,859,1.277,100,"2015"
"9","Corey Kluber\klubeco01","CLE",4,0,"2%",4.4,9,16,0.36,3.49,32,32,0,4,0,0,222,189,92,86,22,45,3,245,11,1,6,886,1.054,123,"2015"
"10","Marco Estrada\estrama01","TOR",3,0,"1%",3.9,13,8,0.619,3.13,34,28,3,0,0,0,181,134,67,63,24,55,2,131,5,0,2,725,1.044,131,"2015"
"11","Andrew Miller\millean01","NYY",3,0,"1%",2.4,3,2,0.6,2.04,60,0,53,0,0,36,61.2,33,16,14,5,20,1,100,5,0,2,246,0.859,200,"2015"
"12","Shawn Tolleson\tollesh01","TEX",3,0,"1%",1.8,6,4,0.6,2.99,73,0,53,0,0,35,72.1,66,25,24,9,17,5,76,2,0,0,298,1.147,142,"2015"
"13","Carlos Carrasco\carraca01","CLE",2,0,"1%",3.9,14,12,0.538,3.63,30,30,0,3,1,0,183.2,154,75,74,18,43,2,216,5,0,5,730,1.073,119,"2015"
"14","Dellin Betances\betande01","NYY",1,0,"0%",4,6,4,0.6,1.5,74,0,17,0,0,9,84,45,17,14,6,40,2,131,3,0,9,332,1.012,271,"2015"
"15","Jake Arrieta\arrieja01","CHC",169,17,"80%",8.3,22,6,0.786,1.77,33,33,0,4,3,0,229,150,52,45,10,48,2,236,6,0,6,870,0.865,215,"2015"
"16","Zack Greinke\greinza01","LAD",147,10,"70%",9.1,19,3,0.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,0.844,222,"2015"
"17","Clayton Kershaw\kershcl01","LAD",101,3,"48%",7.5,16,7,0.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,0.881,173,"2015"
"18","Gerrit Cole\colege01","PIT",40,0,"19%",4.6,19,8,0.704,2.6,32,32,0,0,0,0,208,183,71,60,11,44,1,202,10,0,7,832,1.091,149,"2015"
"19","Max Scherzer\scherma01","WSN",32,0,"15%",6.9,14,12,0.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,0.918,142,"2015"
"20","Madison Bumgarner\bumgama01","SFG",8,0,"4%",5.1,18,9,0.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,1.008,131,"2015"
"21","Jacob deGrom\degroja01","NYM",7,0,"3%",5.2,14,8,0.636,2.54,30,30,0,0,0,0,191,149,59,54,16,38,2,205,2,0,6,751,0.979,149,"2015"
"22","Mark Melancon\melanma01","PIT",5,0,"2%",2,3,2,0.6,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,0.926,174,"2015"
"23","John Lackey\lackejo01","STL",1,0,"0%",5.7,13,10,0.565,2.77,33,33,0,1,0,0,218,211,71,67,21,53,5,175,4,3,5,896,1.211,142,"2015"
