Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Bartolo Colon\colonba01,LAA,118.0,17.0,84%,4.0,21,8,.724,3.48,33,33,0,2,0,0,222.2,215,93,86,26,43,0,157,3,1,2,906,1.159,122
2,Mariano Rivera\riverma01,NYY,68.0,8.0,49%,4.0,7,4,.636,1.38,71,0,67,0,0,43,78.1,50,18,12,2,18,0,80,4,0,0,306,0.868,308
3,Johan Santana\santajo02,MIN,51.0,3.0,36%,7.2,16,7,.696,2.87,33,33,0,3,2,0,231.2,180,77,74,22,45,1,238,1,0,8,910,0.971,155
4,Cliff Lee\leecl02,CLE,8.0,0.0,6%,2.5,18,5,.783,3.79,32,32,0,1,0,0,202.0,194,91,85,22,52,1,143,0,0,4,838,1.218,111
5,Mark Buehrle\buehrma01,CHW,5.0,0.0,4%,4.8,16,8,.667,3.12,33,33,0,3,1,0,236.2,240,99,82,20,40,4,149,4,2,2,971,1.183,144
6,Jon Garland\garlajo01,CHW,1.0,0.0,1%,4.6,18,10,.643,3.50,32,32,0,3,3,0,221.0,212,93,86,26,47,3,115,7,0,2,901,1.172,128
6,Kevin Millwood\millwke01,CLE,1.0,0.0,1%,4.0,9,11,.450,2.86,30,30,0,1,0,0,192.0,182,72,61,20,52,0,146,4,0,2,799,1.219,147
1,Chris Carpenter\carpech01,STL,132.0,19.0,83%,5.8,21,5,.808,2.83,33,33,0,7,4,0,241.2,204,82,76,18,51,0,213,3,0,5,953,1.055,150
2,Dontrelle Willis\willido03,FLA,112.0,11.0,70%,7.3,22,10,.688,2.63,34,34,0,7,5,0,236.1,213,79,69,11,55,3,170,8,1,2,960,1.134,152
3,Roger Clemens\clemero02,HOU,40.0,2.0,25%,7.8,13,8,.619,1.87,32,32,0,1,0,0,211.1,151,51,44,11,62,5,185,3,1,3,838,1.008,226
4,Roy Oswalt\oswalro01,HOU,2.0,0.0,1%,5.9,20,12,.625,2.94,35,35,0,4,1,0,241.2,243,85,79,18,48,3,184,8,1,5,1002,1.204,144
5,Chad Cordero\cordech01,WSN,1.0,0.0,1%,2.0,2,4,.333,1.82,74,0,62,0,0,47,74.1,55,24,15,9,17,2,61,2,0,0,300,0.969,225
5,Andy Pettitte\pettian01,HOU,1.0,0.0,1%,6.8,17,9,.654,2.39,33,33,0,0,0,0,222.1,188,66,59,17,41,0,171,3,0,2,875,1.030,177
