Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Steve Stone\stonest01,BAL,100.0,13.0,71%,4.0,25,7,.781,3.23,37,37,0,9,1,0,250.2,224,103,90,22,101,3,149,6,0,7,1048,1.297,123
2,Mike Norris\norrimi01,OAK,91.0,13.0,65%,5.9,22,9,.710,2.53,33,33,0,24,1,0,284.1,215,88,80,18,83,2,180,6,4,9,1135,1.048,149
3,Rich Gossage\gossari01,NYY,37.0,2.0,26%,3.5,6,2,.750,2.27,64,0,58,0,0,33,99.0,74,29,25,5,37,3,103,1,0,4,401,1.121,173
4,Tommy John\johnto01,NYY,14.0,0.0,10%,4.2,22,9,.710,3.43,36,36,0,16,6,0,265.1,270,115,101,13,56,1,78,6,0,5,1089,1.229,115
5,Dan Quisenberry\quiseda01,KCR,7.0,0.0,5%,2.4,12,7,.632,3.09,75,0,68,0,0,33,128.1,129,47,44,5,27,15,37,1,0,1,528,1.216,130
6,Larry Gura\gurala01,KCR,1.0,0.0,1%,6.0,18,10,.643,2.95,36,36,0,16,4,0,283.1,272,107,93,20,76,6,113,5,0,2,1175,1.228,136
6,Scott McGregor\mcgresc01,BAL,1.0,0.0,1%,4.5,20,8,.714,3.32,36,36,0,12,4,0,252.0,254,101,93,16,58,3,119,2,2,3,1037,1.238,119
1,Steve Carlton\carltst01,PHI,118.0,23.0,98%,10.2,24,9,.727,2.34,38,38,0,13,3,0,304.0,243,87,79,15,90,12,286,2,7,17,1228,1.095,162
2,Jerry Reuss\reussje01,LAD,55.0,1.0,46%,5.2,18,6,.750,2.51,37,29,7,10,6,3,229.1,193,74,64,12,40,9,111,0,1,3,907,1.016,141
3,Jim Bibby\bibbyji01,PIT,28.0,0.0,23%,3.5,19,6,.760,3.32,35,34,1,6,1,0,238.1,210,95,88,20,88,3,144,6,3,5,985,1.250,111
4,Joe Niekro\niekrjo01,HOU,11.0,0.0,9%,1.0,20,12,.625,3.55,37,36,1,11,2,0,256.0,268,119,101,12,79,3,127,4,0,12,1096,1.355,93
5,Tug McGraw\mcgratu01,PHI,1.0,0.0,1%,4.7,5,4,.556,1.46,57,0,48,0,0,20,92.1,62,16,15,3,23,9,75,2,0,1,355,0.921,260
5,Steve Rogers\rogerst01,MON,1.0,0.0,1%,5.9,16,11,.593,2.98,37,37,0,14,4,0,281.0,247,101,93,16,85,7,147,3,0,7,1151,1.181,120
5,Joe Sambito\sambijo01,HOU,1.0,0.0,1%,2.0,8,4,.667,2.19,64,0,40,0,0,17,90.1,65,26,22,3,22,3,75,2,0,3,354,0.963,151
5,Mario Soto\sotoma01,CIN,1.0,0.0,1%,2.8,10,8,.556,3.07,53,12,10,3,1,4,190.1,126,72,65,11,84,10,182,2,4,6,777,1.103,118
