Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,LaMarr Hoyt\hoytla01,CHW,116.0,17.0,83%,3.7,24,10,.706,3.66,36,36,0,11,1,0,260.2,236,115,106,27,31,4,148,1,1,1,1034,1.024,115
2,Dan Quisenberry\quiseda01,KCR,81.0,9.0,58%,5.5,5,3,.625,1.94,69,0,62,0,0,45,139.0,118,35,30,6,11,2,48,0,0,0,536,0.928,210
3,Jack Morris\morrija02,DET,38.0,2.0,27%,4.0,20,13,.606,3.34,37,37,0,20,1,0,293.2,257,117,109,30,83,5,232,3,0,18,1204,1.158,117
4,Richard Dotson\dotsori01,CHW,9.0,0.0,6%,5.1,22,7,.759,3.23,35,35,0,8,1,0,240.0,209,92,86,19,106,1,137,8,0,7,997,1.313,130
5,Ron Guidry\guidrro01,NYY,5.0,0.0,4%,5.3,21,9,.700,3.42,31,31,0,21,3,0,250.1,232,99,95,26,60,3,156,2,2,4,1024,1.166,114
6,Scott McGregor\mcgresc01,BAL,3.0,0.0,2%,5.3,18,7,.720,3.18,36,36,0,12,2,0,260.0,271,101,92,24,45,2,86,1,0,0,1072,1.215,124
1,John Denny\dennyjo01,PHI,103.0,20.0,86%,7.4,19,6,.760,2.37,36,36,0,7,1,0,242.2,229,77,64,9,53,5,139,4,1,6,983,1.162,152
2,Mario Soto\sotoma01,CIN,61.0,2.0,51%,6.8,17,13,.567,2.70,34,34,0,18,3,0,273.2,207,96,82,28,95,6,242,5,2,2,1114,1.104,140
3,Jesse Orosco\oroscje01,NYM,19.0,1.0,16%,3.8,13,7,.650,1.47,62,0,42,0,0,17,110.0,76,27,18,3,38,7,84,1,2,1,432,1.036,248
4,Steve Rogers\rogerst01,MON,15.0,1.0,13%,3.6,17,12,.586,3.23,36,36,0,13,5,0,273.0,258,108,98,14,78,12,146,5,0,6,1125,1.231,110
5,Larry McWilliams\mcwilla01,PIT,7.0,0.0,6%,4.1,15,8,.652,3.25,35,35,0,8,4,0,238.0,205,99,86,19,87,7,199,3,4,9,1002,1.227,114
6,Al Holland\hollaal01,PHI,4.0,0.0,3%,3.3,8,4,.667,2.26,68,0,53,0,0,25,91.2,63,26,23,8,30,12,100,0,0,0,371,1.015,160
7,Craig McMurtry\mcmurcr01,ATL,3.0,0.0,3%,5.2,15,9,.625,3.08,36,35,0,6,3,0,224.2,204,86,77,13,88,1,105,1,2,1,943,1.300,126
8,Bob Welch\welchbo01,LAD,2.0,0.0,2%,4.7,15,12,.556,2.65,31,31,0,4,3,0,204.0,164,73,60,13,72,4,156,3,6,4,828,1.157,136
9,Nolan Ryan\ryanno01,HOU,1.0,0.0,1%,2.6,14,9,.609,2.98,29,29,0,5,2,0,196.1,134,74,65,9,101,3,183,4,1,5,804,1.197,114
9,Lee Smith\smithle02,CHC,1.0,0.0,1%,4.8,4,10,.286,1.65,66,0,56,0,0,29,103.1,70,23,19,5,41,14,91,1,2,5,413,1.074,229
