Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roy Halladay\hallaro01,TOR,136.0,26.0,97%,8.1,22,7,.759,3.25,36,36,0,9,2,0,266.0,253,111,96,26,32,1,204,9,1,6,1071,1.071,145
2,Esteban Loaiza\loaizes01,CHW,63.0,2.0,45%,7.2,21,9,.700,2.90,34,34,0,1,0,0,226.1,196,75,73,17,56,2,207,10,1,3,922,1.113,159
3,Pedro Martinez\martipe02,BOS,20.0,0.0,14%,8.0,14,4,.778,2.22,29,29,0,3,0,0,186.2,147,52,46,7,47,0,206,9,0,5,749,1.039,211
4,Tim Hudson\hudsoti01,OAK,15.0,0.0,11%,7.5,16,7,.696,2.70,34,34,0,3,2,0,240.0,197,84,72,15,61,9,162,10,0,6,967,1.075,165
5,Jamie Moyer\moyerja01,SEA,12.0,0.0,9%,4.8,21,7,.750,3.27,33,33,0,1,0,0,215.0,199,83,78,19,66,3,129,8,0,0,897,1.233,132
6,Andy Pettitte\pettian01,NYY,4.0,0.0,3%,3.1,21,8,.724,4.02,33,33,0,1,0,0,208.1,227,109,93,21,50,3,180,1,0,5,896,1.330,110
7,Keith Foulke\foulkke01,OAK,1.0,0.0,1%,3.5,9,1,.900,2.08,72,0,67,0,0,43,86.2,57,21,20,10,20,2,88,7,1,0,338,0.888,215
7,Johan Santana\santajo02,MIN,1.0,0.0,1%,4.2,12,3,.800,3.07,45,18,7,0,0,0,158.1,127,56,54,17,47,1,169,3,2,6,644,1.099,148
1,Eric Gagne\gagneer01,LAD,146.0,28.0,91%,3.7,2,3,.400,1.20,77,0,67,0,0,55,82.1,37,12,11,2,20,2,137,3,0,2,306,0.692,337
2,Jason Schmidt\schmija01,SFG,73.0,2.0,46%,6.7,17,5,.773,2.34,29,29,0,5,3,0,207.2,152,56,54,14,46,1,208,5,1,7,819,0.953,180
3,Mark Prior\priorma01,CHC,60.0,2.0,38%,7.4,18,6,.750,2.43,30,30,0,3,1,0,211.1,183,67,57,15,50,4,245,9,0,9,863,1.103,179
4,Russ Ortiz\ortizru01,ATL,9.0,0.0,6%,2.3,21,7,.750,3.81,34,34,0,1,1,0,212.1,177,101,90,17,102,7,149,4,0,5,912,1.314,113
