"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
7,"Donnie Moore\mooredo01","CAL",2,0,"1%",3.6,8,8,0.5,1.92,65,0,57,0,0,31,103,91,28,22,9,21,3,72,0,0,2,417,1.087,217,10,9,1,10,1
3,"Dan Quisenberry\quiseda01","KCR",9,0,"6%",4.3,8,9,0.471,2.37,84,0,76,0,0,37,129,142,41,34,8,16,5,54,1,0,0,532,1.225,174,9,10,2,8,2
7,"Dave Stieb\stiebda01","TOR",2,0,"1%",6.8,14,13,0.519,2.48,36,36,0,8,2,0,265,206,89,73,22,96,3,167,9,1,4,1087,1.14,171,8,3,3,2,3
5,"Charlie Leibrandt\leibrch01","KCR",7,0,"5%",6.6,17,9,0.654,2.69,33,33,0,8,3,0,237.2,223,86,71,17,68,3,108,2,3,4,983,1.224,153,5,8,4,4,4
1,"Bret Saberhagen\saberbr01","KCR",127,23,"91%",7.2,20,6,0.769,2.87,32,32,0,10,1,0,235.1,211,79,75,19,38,1,158,1,3,1,931,1.058,143,2,4,5,1,5
3,"Bert Blyleven\blylebe01","TOT",9,1,"6%",6.8,17,16,0.515,3.16,37,37,0,24,5,0,293.2,264,121,103,23,75,1,206,9,1,4,1203,1.154,134,4,1,6,3,6
6,"Doyle Alexander\alexado01","TOR",5,0,"4%",4.8,17,10,0.63,3.45,36,36,0,6,1,0,260.2,268,105,100,28,67,0,142,6,0,9,1090,1.285,123,6,7,8,6,7
2,"Ron Guidry\guidrro01","NYY",88,4,"63%",4.6,22,6,0.786,3.27,34,33,0,11,2,0,259,243,104,94,28,42,3,143,0,1,3,1033,1.1,123,1,6,7,7,8
10,"Mike Moore\mooremi01","SEA",1,0,"1%",6.3,17,10,0.63,3.46,35,34,1,14,2,0,247,230,100,95,18,70,2,155,4,3,10,1016,1.215,121,7,5,9,5,9
7,"Britt Burns\burnsbr01","CHW",2,0,"1%",4.3,18,11,0.621,3.96,36,34,1,8,4,0,227,206,105,100,26,79,1,172,2,0,2,944,1.256,109,3,2,10,9,10
